,elbo
1028,-1288723840.0
1029,-1280663680.0
1030,-1283965824.0
1031,-1286337920.0
1032,-1279392896.0
1033,-1289897600.0
1034,-1267821568.0
1035,-1276810112.0
1036,-1285553792.0
1037,-1268842368.0
1038,-1278881280.0
1039,-1280301184.0
1040,-1277345280.0
1041,-1274996480.0
1042,-1269030912.0
1043,-1267656960.0
1044,-1270642688.0
1045,-1265480064.0
1046,-1266103040.0
1047,-1280869632.0
1048,-1266604416.0
1049,-1271440768.0
1050,-1270592256.0
1051,-1267033856.0
1052,-1259399936.0
1053,-1261985792.0
1054,-1267898624.0
1055,-1267607424.0
1056,-1262657280.0
1057,-1264446720.0
1058,-1265509888.0
1059,-1261915008.0
1060,-1260044672.0
1061,-1263220096.0
1062,-1258716416.0
1063,-1258179968.0
1064,-1264934016.0
1065,-1251842176.0
1066,-1253946880.0
1067,-1250084864.0
1068,-1255433984.0
1069,-1251679360.0
1070,-1259937408.0
1071,-1254124544.0
1072,-1251991424.0
1073,-1251042816.0
1074,-1266800768.0
1075,-1256327040.0
1076,-1248608128.0
1077,-1250104192.0
1078,-1257929984.0
1079,-1252085760.0
1080,-1246487296.0
1081,-1243130112.0
1082,-1242182400.0
1083,-1242493312.0
1084,-1249331712.0
1085,-1240452096.0
1086,-1237904896.0
1087,-1244207104.0
1088,-1239272064.0
1089,-1235279232.0
1090,-1236970496.0
1091,-1238223360.0
1092,-1242090624.0
1093,-1236952576.0
1094,-1239523328.0
1095,-1232683136.0
1096,-1234989696.0
1097,-1243735040.0
1098,-1229139072.0
1099,-1236953856.0
1100,-1244850560.0
1101,-1235819776.0
1102,-1233908224.0
1103,-1233496704.0
1104,-1232970112.0
1105,-1244925952.0
1106,-1234322432.0
1107,-1240703488.0
1108,-1227933696.0
1109,-1234184960.0
1110,-1245935488.0
1111,-1227779072.0
1112,-1234490112.0
1113,-1228952576.0
1114,-1226820224.0
1115,-1229303424.0
1116,-1225598080.0
1117,-1233709568.0
1118,-1227052288.0
1119,-1235769728.0
1120,-1229605888.0
1121,-1230261376.0
1122,-1226284544.0
1123,-1224849664.0
1124,-1236003456.0
1125,-1218587264.0
1126,-1234033664.0
1127,-1239099392.0
1128,-1222547456.0
1129,-1222240512.0
1130,-1226516352.0
1131,-1220359680.0
1132,-1235366016.0
1133,-1220999808.0
1134,-1221712768.0
1135,-1231632512.0
1136,-1228447872.0
1137,-1222895616.0
1138,-1228148096.0
1139,-1222565248.0
1140,-1222909952.0
1141,-1219544960.0
1142,-1220764416.0
1143,-1216190208.0
1144,-1214854144.0
1145,-1221735936.0
1146,-1218312832.0
1147,-1218036736.0
1148,-1220492160.0
1149,-1220550784.0
1150,-1220173312.0
1151,-1218765568.0
1152,-1216489856.0
1153,-1217654912.0
1154,-1219494656.0
1155,-1222204928.0
1156,-1216089728.0
1157,-1218596864.0
1158,-1214742912.0
1159,-1218804480.0
1160,-1223576192.0
1161,-1225953024.0
1162,-1212418432.0
1163,-1213582080.0
1164,-1209946880.0
1165,-1216130304.0
1166,-1216132992.0
1167,-1208476672.0
1168,-1212381440.0
1169,-1208494464.0
1170,-1214774272.0
1171,-1219462528.0
1172,-1210258432.0
1173,-1213589376.0
1174,-1207685632.0
1175,-1215660800.0
1176,-1208943104.0
1177,-1209742976.0
1178,-1211935104.0
1179,-1211893376.0
1180,-1227686912.0
1181,-1213618304.0
1182,-1210433024.0
1183,-1207461248.0
1184,-1207908736.0
1185,-1207323520.0
1186,-1208408192.0
1187,-1212130688.0
1188,-1206191104.0
1189,-1210718336.0
1190,-1204987264.0
1191,-1215607936.0
1192,-1209001728.0
1193,-1205130112.0
1194,-1218579840.0
1195,-1211952896.0
1196,-1205053312.0
1197,-1219733888.0
1198,-1210619904.0
1199,-1209491968.0
1200,-1216890752.0
1201,-1203542784.0
1202,-1211448064.0
1203,-1207060992.0
1204,-1206759808.0
1205,-1203575424.0
1206,-1206610176.0
1207,-1208587776.0
1208,-1207378176.0
1209,-1210715392.0
1210,-1204958464.0
1211,-1202448000.0
1212,-1204511232.0
1213,-1205734272.0
1214,-1204934656.0
1215,-1201878400.0
1216,-1208150272.0
1217,-1209006336.0
1218,-1203285504.0
1219,-1198939520.0
1220,-1203274624.0
1221,-1207680128.0
1222,-1205034368.0
1223,-1207689344.0
1224,-1201401344.0
